"","OpenSource","FormalEducation","UndergradMajor","CompanySize","YearsCoding","YearsCodingProf","ConvertedSalary","LanguageWorkedWith","DatabaseWorkedWith","PlatformWorkedWith","FrameworkWorkedWith","OperatingSystem","CheckInCode","WakeTime","HoursOutside","SkipMeals","Exercise","Gender","SexualOrientation","EducationParents","RaceEthnicity","Age"
"1","Yes","Some college/university study without earning a degree","Computer Science","10,000 or more employees","9-11 years","0-2 years","$100,000 - $129,999","Less than 4 languages","1","1","2","MacOS","Multiple times per day","After 8:01 AM","Less than 30 minutes","1 - 2 times per week","I don't typically exercise","Male","Straight or heterosexual","Master's degree (MA, MS, M.Eng., MBA, etc.) or higher","White or of European descent","18 - 24 years old"
"2","Yes","Some college/university study without earning a degree","Not related to Computer Science","100 to 499 employees","More than 20 years","More than 20 years","More than $160,000","more than 10 languages","more than 5 databases","more than 5 platforms","more than 3 frameworks","MacOS","Multiple times per day","After 8:01 AM","Less than 30 minutes","1 - 2 times per week","I don't typically exercise","Male","Straight or heterosexual","Some college/university study without earning a degree","White or of European descent","35 - 44 years old"
"3","No","Bachelor’s degree (BA, BS, B.Eng., etc.)","Related to Computer Science","500 to 999 employees","6-8 years","0-2 years","Less than $70,000","9","2","3","1","MacOS","Less than a few times per month","Before 6:00 AM","30 - 59 minutes","Never","Daily or almost every day","Female","Straight or heterosexual","Associate degree","White or of European descent","18 - 24 years old"
"4","Yes","Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer Science","20 to 99 employees","12-14 years","6-8 years","$70,000 - $99,999","9","1","1","1","Linux-based","Multiple times per day","Between 7:01 - 8:00 AM","30 - 59 minutes","Daily or almost every day","Daily or almost every day","Male","Straight or heterosexual","Master's degree (MA, MS, M.Eng., MBA, etc.) or higher","White or of European descent","25 - 34 years old"
"5","Yes","Bachelor’s degree (BA, BS, B.Eng., etc.)","Related to Computer Science","5,000 to 9,999 employees","9-11 years","6-8 years","$70,000 - $99,999","7","1","1","2","Linux-based","Multiple times per day","Between 7:01 - 8:00 AM","Less than 30 minutes","Never","I don't typically exercise","Male","Straight or heterosexual","Master's degree (MA, MS, M.Eng., MBA, etc.) or higher","White or of European descent","25 - 34 years old"
"6","Yes","Master's degree (MA, MS, M.Eng., MBA, etc.) or higher","Computer Science","20 to 99 employees","15-17 years","9-11 years","$100,000 - $129,999","more than 10 languages","3","3","2","Linux-based","Multiple times per day","Between 6:01 - 7:00 AM","30 - 59 minutes","Never","3 - 4 times per week","Male","Straight or heterosexual","Bachelor’s degree (BA, BS, B.Eng., etc.)","White or of European descent","25 - 34 years old"
"7","Yes","Associate degree","Computer Science","100 to 499 employees","15-17 years","3-5 years","$70,000 - $99,999","Less than 4 languages","2","2","1","MacOS","A few times per week","Others","Less than 30 minutes","Never","Daily or almost every day","Others","Others","Bachelor’s degree (BA, BS, B.Eng., etc.)","White or of European descent","25 - 34 years old"
"8","Yes","Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer Science","20 to 99 employees","18-20 years","18-20 years","$100,000 - $129,999","7","1","2","3","Windows","Multiple times per day","Between 6:01 - 7:00 AM","Less than 30 minutes","Never","1 - 2 times per week","Male","Straight or heterosexual","Less than or equal to Secondary school","White or of European descent","35 - 44 years old"
"9","Yes","Master's degree (MA, MS, M.Eng., MBA, etc.) or higher","Computer Science","10,000 or more employees","12-14 years","6-8 years","$100,000 - $129,999","5","more than 5 databases","1","3","Linux-based","Multiple times per day","Before 6:00 AM","Over 1 hour","3 - 4 times per week","Daily or almost every day","Male","Straight or heterosexual","Master's degree (MA, MS, M.Eng., MBA, etc.) or higher","White or of European descent","25 - 34 years old"
"10","Yes","Bachelor’s degree (BA, BS, B.Eng., etc.)","Not related to Computer Science","Fewer than 10 employees","Less than 6 years","0-2 years","Less than $70,000","6","1","1","1","Linux-based","Multiple times per day","Between 7:01 - 8:00 AM","30 - 59 minutes","Never","1 - 2 times per week","Male","Straight or heterosexual","Bachelor’s degree (BA, BS, B.Eng., etc.)","White or of European descent","25 - 34 years old"
